Rating,Current Ratio,Debt/Equity Ratio,Gross Margin,EBITDA Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year Month Day,Rating Agency_DBRS,Rating Agency_Egan-Jones Ratings Company,Rating Agency_Fitch Ratings,Rating Agency_HR Ratings de Mexico S.A. de C.V.,"Rating Agency_Japan Credit Rating Agency,Ltd.",Rating Agency_Moody's Investors Service,Rating Agency_Standard & Poor's Ratings Services,Sector_BusEq,Sector_Chems,Sector_Durbl,Sector_Enrgy,Sector_Hlth,Sector_Manuf,Sector_Money,Sector_NoDur,Sector_Other,Sector_Shops,Sector_Telcm,Sector_Utils
1,0.015081750580350954,0.8837940404432335,0.8640560729737218,0.6191601432635718,0.6695277359369084,0.38615913450749,0.6160566859403003,0.588061087316997,0.6210321212103213,0.25940137978375055,0.5577837573693339,20110404,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0.015081750580350954,0.8837940404432335,0.8640560729737218,0.6191601432635718,0.6695277359369084,0.38615913450749,0.6160566859403003,0.588061087316997,0.6210321212103213,0.25940137978375055,0.5577837573693339,20110701,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0.07665942026848054,0.8835944570017025,0.5865859636410136,0.5840536472146902,0.6629583559268771,0.47891611296906944,0.6156279959343424,0.587094427525802,0.6187873786878738,0.23964673595124042,0.5392903208216323,20110819,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2,0.0440063831230698,0.8844485637848408,0.5632701775324481,0.5782660065402935,0.6637472050097829,0.654810212674453,0.6171229782729328,0.5840880909790955,0.6253812737538128,0.24432436831750073,0.5466790546279732,20110810,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0.07588365253864829,0.8836666020979049,0.7506873255045715,0.5076420833034662,0.5712459384836469,0.26192609559740765,0.6138003301256277,0.5848183480471353,0.598539898485399,0.23762650851100459,0.5264264157195679,20110519,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3,1.0,0.8852611106746555,0.5121459474435753,0.5418184228153912,0.6486592640257225,0.4204507075132005,0.6149076791073086,0.5862826645379058,0.6134834536348346,0.22764584604453336,0.5216718714280622,20110524,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,0.06578392361490065,0.883949065442139,0.6214482854159118,0.5746175250698892,0.6651561906993384,0.5966266084114702,0.6158391654962807,0.588083169418661,0.619249296192493,0.2420380255743767,0.5451891436157607,20110426,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0.08224612779814701,0.8838067542922733,0.7689648558214872,0.5801766818515507,0.6692525926929207,0.47997812367292364,0.6159778792546469,0.587398084658988,0.6217890587178906,0.23472119335311442,0.5298143693360207,20110429,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0.06619982950808068,0.8835638717988237,0.9547830395771615,0.6099687259775217,0.687683248159812,0.4557007985986973,0.6162158842993898,0.5880796431425286,0.6263772137637722,0.25163557838447664,0.5588021987932225,20111206,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,0.03848161902430247,0.8837378476293168,0.5702398712729908,0.5786030936626385,0.6646027507071338,0.6310340340667648,0.6162521586577143,0.5879795144690054,0.6247231712472318,0.24606000766219313,0.5491219717831324,20110329,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,0.016468103557617714,0.8841460701312703,0.5234052982673003,0.5506763061430806,0.6300118051430815,0.3885086995477216,0.6141236075130826,0.5856814574638863,0.600001386000014,0.23415817475957929,0.5393393972823386,20110330,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0.052938035921290545,0.8836402148640486,0.855694678289039,0.6103581836472889,0.6790819076997693,0.4788654568506063,0.6168919581053843,0.5892775814715147,0.6327583413275835,0.24597085635850927,0.5497117282254665,20110719,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0.02951751966703931,0.8846291963947841,0.6331360158564395,0.6004995439591269,0.6600008419856291,0.15766745308366292,0.6154760830535785,0.5867479112879278,0.6157565761575658,0.2466971851479818,0.546483168242077,20110725,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,0.028033827012645306,0.88402864694061,0.8166023742034483,0.6157699613662935,0.6772468835888643,0.32390340806018275,0.6162965656430068,0.5873456506479334,0.6226978787269788,0.24549939856335218,0.549164336932973,20110428,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0.04202124364711122,0.8835913984814145,0.5796674197054623,0.5696775457338551,0.6597176573058572,0.7487940979129571,0.6158107614221188,0.5929645353248582,0.6210906137109061,0.24635209196345173,0.5522720933207776,20110509,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0.04202124364711122,0.8835913984814145,0.5796674197054623,0.5696775457338551,0.6597176573058572,0.7487940979129571,0.6158107614221188,0.5929645353248582,0.6210906137109061,0.24635209196345173,0.5522720933207776,20111116,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0.029520469354224983,0.8841271792706688,0.8100823724984549,0.6014083815121771,0.6669721361096573,0.23477285846380236,0.6157872161553323,0.5869580028878654,0.6183962461839625,0.24469730455182997,0.5469873554708718,20110617,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0.029520469354224983,0.8841271792706688,0.8100823724984549,0.6014083815121771,0.6669721361096573,0.23477285846380236,0.6157872161553323,0.5869580028878654,0.6183962461839625,0.24469730455182997,0.5469873554708718,20111219,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0.03225482937534474,0.8839874468732026,0.5155271626776923,0.5674075374040027,0.6552538720695864,0.8285417276905263,0.6155547749642544,0.5868122752391123,0.6168064711680648,0.24632880018140818,0.549754093375307,20110412,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2,0.03225482937534474,0.8839874468732026,0.5155271626776923,0.5674075374040027,0.6552538720695864,0.8285417276905263,0.6155547749642544,0.5868122752391123,0.6168064711680648,0.24632880018140818,0.549754093375307,20110801,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
